,AUT,BEL,DEU,ESP,FIN,FRA,GRE,IRL,ITA,NLD,PRT
y,0.094623,-0.51666,0.056062,0.75541,0.17588,-0.20091,0.86362,0.80444,-1.2864,-0.37178,0.47144
n,-0.13117,-0.57937,0.69073,0.91483,-0.49693,-0.6925,0.70148,0.88771,-0.29538,-0.93397,0.767
w,-1.2698,-0.83957,-1.3157,0.55497,-0.98886,-0.68833,0.13722,0.46558,-0.94944,-0.90085,0.036497
bh,0.99533,0.94298,0.93839,0.99551,0.99171,0.97877,0.99964,0.99639,0.97819,0.99625,0.9861
bg,0.74268,-0.77986,-2.3762,0.74861,-1.9091,-1.698,0.92941,0.96839,-2.5679,-2.5981,0.97918
rho,-0.61747,-0.97778,0.067405,0.84472,0.18895,-0.069817,0.87915,0.94336,-1.4925,0.81162,0.55573
g,-1.0904,-2.764,-0.61253,-1.2333,0.1325,0.5327,-1.73,-0.89997,-1.6272,-0.22895,0.76107
trans,0.3905,0.15984,0.44536,0.84033,-0.43258,0.0024652,0.77511,0.84206,-1.023,-0.63273,0.82908
netx,-1.0121,-2.3016,0.30067,0.87775,-0.22197,0.49637,0.41972,0.57343,-0.79738,-0.53649,0.44488
cf,1,1,1,1,1,1,1,1,1,1,1
